,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
asc_1,0.20802438084928818,0.0,0.49530271945356685,0.41999442498274,0.6744895263926758
asc_2,-5.358197408139653,0.0,0.6477120670390614,-8.272498971084506,2.220446049250313e-16
b_AGE_1_constant_38_0,-0.43734394600286713,0.0,0.26091971303203054,-1.6761629120340888,0.09370628659717917
b_AGE_2_constant_27_0,0.46439176724801007,0.0,0.0672733563910318,6.903056308781378,5.089484389486643e-12
b_CAR_CO_constant_29_1,-0.550648691305346,0.0,0.2578757190563701,-2.135325858984721,0.03273440209236034
b_CAR_CO_constant_29_10,-2.9574067997949283,0.0,0.8282786089504061,-3.5705459103218318,0.00035623800617190504
b_CAR_CO_constant_29_2,-0.4396753542794473,0.0,0.12633149452614523,-3.4803305060912844,0.0005007955813600695
b_CAR_CO_constant_29_3,-0.8060637861618004,0.0,0.13237828658793085,-6.089093664363008,1.1355167917059816e-09
b_CAR_CO_constant_29_4,-0.8576817111425392,0.0,0.15177472441681025,-5.65101807588948,1.5950031517775187e-08
b_CAR_CO_constant_29_5,-1.201177240761899,0.0,0.17841202502106912,-6.732602472395283,1.6665557822648225e-11
b_CAR_CO_constant_29_6,-1.1855137228121497,0.0,0.1423916334550136,-8.325725985766532,0.0
b_CAR_CO_constant_29_7,-1.504472543240602,0.0,0.18082883209352352,-8.319870928893122,0.0
b_CAR_CO_constant_29_8,-1.7489100968576765,0.0,0.2913644019549622,-6.002483780184015,1.9432166986632637e-09
b_CAR_CO_constant_29_9,-1.944120361779727,0.0,0.25786949117418834,-7.539163911664496,4.729550084903167e-14
b_CAR_TT_constant_28_1,-0.40732365602062914,0.0,0.3280357643939415,-1.2417050219300783,0.21434541640780713
b_CAR_TT_constant_28_10,-2.432443654374389,0.0,2.3244704178186426,-1.0464506821545494,0.2953530034406988
b_CAR_TT_constant_28_11,-2.5921729062591297,0.0,2.3319511539228857,-1.1115897097151843,0.2663145989483433
b_CAR_TT_constant_28_12,-2.759320714938346,0.0,2.4024604165265653,-1.148539512225439,0.2507459113059063
b_CAR_TT_constant_28_13,-3.199488398557935,0.0,2.4895368730083813,-1.285174135497596,0.1987314397400537
b_CAR_TT_constant_28_14,-3.4138807514334593,0.0,2.570607104252887,-1.328044548614775,0.18416339043222596
b_CAR_TT_constant_28_15,-3.536767164842458,0.0,2.732782266515142,-1.2942001300939947,0.19559630186818167
b_CAR_TT_constant_28_16,-3.9704373513476767,0.0,3.2888085958400137,-1.2072570463267,0.22733316718596663
b_CAR_TT_constant_28_2,-0.6044639567828858,0.0,0.45948927803576933,-1.3155126477963883,0.1883376694937633
b_CAR_TT_constant_28_3,-0.7719338489638206,0.0,1.8883450672718354,-0.40878855371442413,0.6826948406276041
b_CAR_TT_constant_28_4,-1.0645739628407864,0.0,1.9121220798481167,-0.5567499973251433,0.5776982517543674
b_CAR_TT_constant_28_5,-1.4365500110867093,0.0,1.9339585038955696,-0.7428029133991597,0.45760101136504305
b_CAR_TT_constant_28_6,-1.6004640967636066,0.0,1.9546298586148168,-0.8188067370964055,0.41289668654652667
b_CAR_TT_constant_28_7,-1.7843969922720238,0.0,1.9856281627863066,-0.8986561662018795,0.36883583182491986
b_CAR_TT_constant_28_8,-2.002022009647095,0.0,2.265696939636861,-0.8836230365248995,0.3768997391993638
b_CAR_TT_constant_28_9,-2.117996989142018,0.0,2.303128553044132,-0.9196173554196883,0.3577727539983444
b_CAR_TT_linear_30_0,-0.21873056582890954,0.0,45.230107112380004,-0.004835950648656334,0.9961414846801142
b_CAR_TT_linear_30_1,-5.119145621388032,0.0,12.985941521537733,-0.3942067360227761,0.6934284129058508
